date,name,startTime,endTime,stage
419,Layton Giordani,3:00:00 PM,4:15:00 PM,6
419,DJ Gigola,2:00:00 PM,3:00:00 PM,6
419,HAAi,1:00:00 PM,2:00:00 PM,6
419,Kaskade Redux x IDRIS,8:00:00 PM,10:00:00 PM,7
419,Tripolism x EREZ,6:00:00 PM,8:00:00 PM,7
420,Post Malone,10:25:00 PM,11:25:00 PM,0
420,Megan Thee Stallion,8:35:00 PM,9:25:00 PM,0
420,Junior H,7:00:00 PM,7:50:00 PM,0
420,beabadoobee,5:25:00 PM,6:15:00 PM,0
420,Shaboozey,4:05:00 PM,4:50:00 PM,0
420,Jaqck Glam,3:00:00 PM,3:55:00 PM,0
420,Polo & Pan,10:55:00 PM,11:55:00 PM,3
420,Zedd,9:10:00 PM,10:10:00 PM,3
420,Jennie,7:45:00 PM,8:35:00 PM,3
420,Still Woozy,6:15:00 PM,7:00:00 PM,3
420,Keshi,5:00:00 PM,5:45:00 PM,3
420,MEUTE,3:40:00 PM,4:30:00 PM,3
420,Snow Strippers,9:05:00 PM,10:05:00 PM,5
420,Ginger Root,7:40:00 PM,8:35:00 PM,5
420,Circle Jerks,6:30:00 PM,7:10:00 PM,5
420,SOFT PLAY,5:20:00 PM,6:00:00 PM,5
420,Wisp,4:10:00 PM,4:50:00 PM,5
420,Bob Vylan,3:00:00 PM,3:40:00 PM,5
420,Kumo 99,2:00:00 PM,2:30:00 PM,5
420,Salado,1:00:00 PM,2:00:00 PM,5
420,Amyl and the Sniffers,9:55:00 PM,10:55:00 PM,1
420,Arca,8:35:00 PM,9:25:00 PM,1
420,BigXthaPlug,7:25:00 PM,8:05:00 PM,1
420,Mohamed Ramadan,6:20:00 PM,7:00:00 PM,1
420,Amaarae,5:00:00 PM,5:45:00 PM,1
420,The Beaches,3:45:00 PM,4:30:00 PM,1
420,Hope Tala,2:40:00 PM,3:20:00 PM,1
420,KsoFresko,1:30:00 PM,2:25:00 PM,1
420,Kraftwerk,9:25:00 PM,10:25:00 PM,2
420,Basement Jaxx,8:00:00 PM,8:50:00 PM,2
420,Rema,6:40:00 PM,7:25:00 PM,2
420,Jessie Murph,5:25:00 PM,6:10:00 PM,2
420,Muni Long,4:10:00 PM,4:55:00 PM,2
420,Fcukers,3:00:00 PM,3:40:00 PM,2
420,Canyon Cody,1:45:00 PM,2:45:00 PM,2
420,XG,10:55:00 PM,11:55:00 PM,4
420,Ty Dolla $ign,9:35:00 PM,10:20:00 PM,4
420,Chase & Status,8:10:00 PM,9:10:00 PM,4
420,Boris Brejcha,7:00:00 PM,7:50:00 PM,4
420,Sammy Virji,6:00:00 PM,6:50:00 PM,4
420,Ben Böhmer,5:00:00 PM,5:45:00 PM,4
420,Interplanetary Criminal,3:40:00 PM,4:40:00 PM,4
420,Tom Breu,2:00:00 PM,3:30:00 PM,4
420,Dixon b2b Jimi Jules,10:30:00 PM,11:30:00 PM,6
420,Francis Mercier,9:00:00 PM,10:30:00 PM,6
420,Dennis Cruz,7:30:00 PM,9:00:00 PM,6
420,Sparrow & Barbossa,6:00:00 PM,7:30:00 PM,6
420,Tripolism,4:30:00 PM,6:00:00 PM,6
420,DESIREE,3:00:00 PM,4:30:00 PM,6
420,AMÉMÉ,2:00:00 PM,3:00:00 PM,6
420,Yulia Niko,1:00:00 PM,2:00:00 PM,6
420,Alesso Body Hi x Gorgon City,7:00:00 PM,9:00:00 PM,7
420,Azzecca x Annicka,5:00:00 PM,7:00:00 PM,7
